;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;EQUIP ULTRA;Foramsulfuron (22.500 g/l);14-11-1405;BAY;Bayer, spol. s r.o;OD;H;;31.07.2021;Profi;N;N;N;Pripravok;MONSOON;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS09;EUH208,EUH401;H315,H410;P280,P332+P313,P501;;SP 1;V3;Vã3;Vo4;Vt5;Z4
;BUCON;Tebuconazole (250.000 g/l);15-PD-0604;FNA;F&N Agro Slovensko spol. s r.o;EC;F;;31.08.2019;Profi;A;A;N;Pripravok;MYSTIC;28.02.2020;28.02.2021;neautorizovany;Nebezpeãenstvo;GHS05,GHS08,GHS09;EUH401;H315,H317,H318,H361d,H411;P264,P280,P302+P352,P305+P351+P338,P333+P313,P405,P501;PHO1;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-ethofuN-VI;Ethofumesate (500.000 g/l);18-00411-PO;HMG;HMpG GmbH, ;SC;H;;09.01.2021;Profi;A;A;N;Pripravok;OBLIX;30.06.2021;30.06.2022;dopredaj;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;A-ethofuN-IV;Ethofumesate (500.000 g/l);18-00203-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2018;Profi;A;A;N;Pripravok;OBLIX;31.01.2019;31.01.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;A-ethofuN-III;Ethofumesate (500.000 g/l);18-00219-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2018;Profi;A;A;N;Pripravok;OBLIX;31.01.2019;31.01.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;ETHOS 500-I;Ethofumesate (500.000 g/l);20-00795-PO;AGM;AGRIMOTION S.A.;SC;H;;31.07.2023;Profi;A;A;N;Pripravok;OBLIX;31.01.2024;31.01.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;ETHOS 500;Ethofumesate (500.000 g/l);20-00794-PO;AGM;AGRIMOTION S.A.;SC;H;;09.01.2021;Profi;A;A;N;Pripravok;OBLIX;30.06.2021;30.06.2022;dopredaj;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;ZORRO;Ethofumesate (500.000 g/l);18-00199-PO;ZEN;ZENAGRO, s.r.o.;SC;H;;31.07.2018;Profi;A;A;N;Pripravok;OBLIX;31.01.2019;31.01.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;GREEN ETHO;Ethofumesate (500.000 g/l);17-PD-0706;GRE;Green Point, spol. s.r.o.,;SC;H;;31.07.2018;Profi;A;A;N;Pripravok;OBLIX;31.01.2019;31.01.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;AGRO-ETHOFUMESAT;Ethofumesate (500.000 g/l);18-00177-PO;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;SC;H;;31.08.2018;Profi;A;A;N;Pripravok;OBLIX;31.01.2019;31.01.2020;neautorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P273,P391,P501;PHO4;SP 1,SPe 1;V3;Vã3;Vo1;Vt5;Z4
;AGRO-ETHOFUMESAT;Ethofumesate (500.000 g/l);15-PD-0594;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;SC;H;;31.07.2017;Profi;A;A;N;Pripravok;OBLIX;31.01.2018;31.01.2019;neautorizovany;;;;;;;;;;;;
;OSIRIS TOP;Epoxiconazole (37.500 g/l),Metconazole (27.500 g/l);17-00142-AU;BAS;BASF Slovensko, spol. s r.o.;EC;F;;16.07.2020;Profi;N;N;A;Pripravok;OSIRIS;31.10.2020;31.10.2021;spotreba;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H317,H351,H360Df,H410;P201,P202,P261,P270,P272,P273,P280,P303,P308+P311,P333+P313,P352,P362+P364,P391,P405,P420,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;VONDOZEB 75 WG;Mancozeb (750.000 g/kg);20-00888-AU;;UPL HOLDINGS COOPERATIEF U.A.;WG;F;;31.01.2022;Profi;N;N;A;Pripravok;PENNCOZEB 75 WG;31.07.2022;31.07.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H361d,H410;P201,P261,P273,P280,P302+P352,P308+P313,P333+P313,P363,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;TRIMANOC DG;Mancozeb (750.000 g/kg);20-00894-AU;;UPL HOLDINGS COOPERATIEF U.A.;WG;F;;31.01.2022;Profi;N;N;A;Pripravok;PENNCOZEB 75 WG;31.07.2022;31.07.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H361d,H410;P201,P261,P273,P280,P302+P352,P308+P313,P333+P313,P363,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;PREVICUR ENERGY;Fosetyl (310.000 g/l),Propamocarb (530.000 g/l);17-00158-MB;;SBM DÉVELOPPEMENT SAS;SC;F;;31.07.2022;Neprofi;N;N;N;Pripravok;PREVICUR ENERGY;31.01.2023;31.01.2024;autorizovany;Pozor;GHS07;EUH401;H317;P280,P333+P313,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;PREVICUR ENERGY;Fosetyl (310.000 g/l),Propamocarb (530.000 g/l);14-PD/MB-0513;NOH;Nohel Garden s.r.o. ;SL;F;;31.12.2017;Neprofi;A;A;N;Pripravok;PREVICUR ENERGY;30.06.2018;30.06.2019;neautorizovany;;GHS07;EUH401;H317;P280,P333+P313,P501;N/A;SP 1;V3;Vã3;Vo3;Vt5;Z4
;GREEN PRINCE;Dicamba (550.000 g/kg),Nicosulfuron (92.000 g/kg),Rimsulfuron (aka renriduron) (23.000 g/kg);17-PD-0715;GRE;Green Point, spol. s.r.o.,;WG;H;;30.04.2019;Profi;A;A;N;Pripravok;PRINCIPAL PLUS 66,5 WG;31.10.2019;31.10.2020;neautorizovany;Pozor;GHS07,GHS09;EUH401;H319,H410;P264,P280,P305+P351+P338,P337+P313,P391,P501;PHO3;SPe 3;V3;Vã3;Vo3;Vt5;Z4
;KELVIN TRIO;Dicamba (550.000 g/kg),Nicosulfuron (92.000 g/kg),Rimsulfuron (aka renriduron) (23.000 g/kg);20-00871-AU;DUC;DuPont CZ s.r.o;WG;H;;30.04.2022;Profi;N;N;A;Pripravok;PRINCIPAL PLUS 66,5 WG;31.10.2022;31.10.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H319,H400,H410;P264,P280,P305+P351+P338,P337+P313,P391,P501;PHO3;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;PROPIKOSH 25 EC;Propiconazole (250.000 g/l);15-02-1625;SHA;SHARDA Europe b.v.b.a.;EC;F;;19.06.2019;Profi;N;N;A;Pripravok;PROPI 25 EC;19.12.2019;19.03.2020;neautorizovany;Nebezpeãenstvo;GHS02,GHS05,GHS07,GHS09;EUH401;H226,H302,H317,H318,H411;P210,P270,P280,P301+P312,P305+P351+P338,P391,P501;PHO1;SP 1;V3;Vã3;Vo2;Vt5;Z4
;PROPIKO 25 EC;Propiconazole (250.000 g/l);15-02-1626;SHA;SHARDA Europe b.v.b.a.;EC;F;;19.06.2019;Profi;N;N;N;Pripravok;PROPI 25 EC;19.12.2019;19.03.2020;neautorizovany;Nebezpeãenstvo;GHS02,GHS05,GHS07,GHS09;EUH401;H226,H302,H317,H318,H411;P210,P270,P280,P301+P312,P305+P351+P338,P391,P501;PHO1;;V3;Vã3;Vo2;Vt5;Z4
;PROPISTAR;Propiconazole (250.000 g/l);16-02-1870;SHA;SHARDA Europe b.v.b.a.;EC;F;;19.06.2019;Profi;N;N;A;Pripravok;PROPI 25 EC;19.12.2019;20.03.2020;neautorizovany;Nebezpeãenstvo;GHS02,GHS05,GHS07,GHS09;EUH401;H226,H302,H317,H318,H411;P210,P270,P280,P301+P312,P305+P351+P338,P391,P501;PHO1;SP 1;V3;Vã3;Vo2;Vt5;Z4
;ROUNDUP KLASIK PRO NS;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);17-00124-PO;;NOVUM Czech s. r. o.;SL;H;;31.12.2018;Profi;A;A;N;Pripravok;ROUNDUP KLASIK PRO;30.06.2019;30.06.2020;neautorizovany;Pozor;GHS07;EUH401;H319,H412;P264,P273,P280,P305+P351+P338,P337+P313,P391,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;ROUNDUP KLASIK PRO NS;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);20-00791-PO;;NOVUM Czech s. r. o.;SL;H;;31.12.2023;Profi;A;A;N;Pripravok;ROUNDUP KLASIK PRO;30.06.2024;30.06.2025;autorizovany;Pozor;GHS07;EUH401;H319,H412;P264,P273,P280,P305+P351+P338,P337+P313,P391,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;EPOXISTAR 125 SC;Epoxiconazole (125.000 g/l);17-00025-PO;AST;AgriStar - agrochemicals s.r.o.;SC;F;;30.04.2020;Profi;A;A;N;Pripravok;RUBRIC;30.10.2020;30.10.2021;spotreba;Pozor;GHS07,GHS08,GHS09;EUH208,EUH401;H332,H351,H361fd,H410;P201,P261,P273,P280,P304+P340,P308+P313,P391,P501;PHO1;SP 1,SPe 2,SPe 3,SPo 2;V3;Vã3;Vo1;Vt5;Z4
;GRAMIGUARD;Clethodim (120.000 g/l);20-00833-AU;UPL;UPL EUROPE LTD.;EC;H;;31.05.2024;Profi;N;N;A;Pripravok;SELECT SUPER;30.11.2024;30.11.2025;autorizovany;;;;;;;;;;;;
;SELECT PLUS;Clethodim (120.000 g/l);20-00670-AU;UPS;UPL SLOVAKIA s.r.o. (pôvodn˘ názov Arysta LifeScience Slovakia s.r.o.);EC;H;;31.05.2024;Profi;N;N;A;Pripravok;SELECT SUPER;30.11.2024;30.11.2025;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH066,EUH208,EUH401;H304,H336,H411;P102,P201,P261,P271,P301+P310,P312,P331,P391,P403+P233,P405,P420,P501;PHO3;SP 1,SPe 1;V3;Vã3;Vo2;Vt5;Z4
;MAX RAPTOR;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);20-00787-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2022;Profi;N;N;A;Pripravok;SULTAN TOP;31.01.2023;31.01.2024;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;GREEN QUEEN;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);17-PD-0704;GRE;Green Point, spol. s.r.o.,;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;METAQUIN-I;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);17-00028-PO;REA;Realchemie Trading B.V.;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;METAQUIN-I;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);14-PD-0527;REA;Realchemie Trading B.V.;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-VII;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);19-00569-PO;HMG;HMpG GmbH, ;SC;H;;09.01.2021;Profi;A;A;N;Pripravok;SULTAN TOP;30.06.2021;30.06.2022;dopredaj;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-VIII;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);19-00618-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2022;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2023;31.01.2024;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-I;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);18-00213-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-II;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);18-00377-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-III;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);18-00201-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-IV;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);18-00183-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-V;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);18-00314-PO;HMG;HMpG GmbH, ;SC;H;;31.07.2019;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2020;31.01.2021;neautorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;A-metaquiN-VI;Metazachlor (375.000 g/l),Quinmerac (125.000 g/l);19-00560-PO;;HMpG GmbH Troisdorf;SC;H;;31.07.2022;Profi;A;A;N;Pripravok;SULTAN TOP;31.01.2023;31.01.2024;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H410;P201,P280,P373,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;ABSOLUT SUPER;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l) CIPAC: isopropylNH2 (485.000 g/l);17-PD-0709;ELD;ELID s. r. o.,;SL;H;;31.12.2018;Profi;A;A;N;Pripravok;GLYFOGAN SUPER;30.06.2019;30.06.2020;neautorizovany;;Bez GHS;EUH401;H412;P101,P201,P273,P280,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;BRONCO;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);16-11-1855;MON;Monsanto Slovakia, s.r.o.;SL;H;;31.12.2023;Profi;N;N;A;Pripravok;GLYFOGAN SUPER;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P101,P201,P273,P280,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;GLYFOGAN SUPER;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l) CIPAC: isopropylNH2 (485.800 g/l);17-00067-MB;ADA;Adama Agriculture Slovensko spol. s.r.o.;SL;H;;31.12.2023;Neprofi;N;N;N;Pripravok;GLYFOGAN SUPER;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H412;P101,P102,P201,P273,P280,P391,P401,P501;;SP 1;V3;Vã3;Vo4;Vt5;Z4
;MV-TEBUCOL;Tebuconazole (250.000 g/l);14-02-1471;SHA;SHARDA Europe b.v.b.a.;EW;F;;31.08.2022;Profi;N;N;A;Pripravok;TEBUSHA 25% EW;28.02.2023;28.02.2024;autorizovany;Nebezpeãenstvo;GHS05,GHS07,GHS08,GHS09;EUH401;H317,H318,H361d,H411;P261,P280,P305+P351+P338,P308+P313,P310,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;RWA TEBUCCO 250;Tebuconazole (250.000 g/l);18-00288-PO;RWA;RWA SLOVAKIA spol. s.r.o., ;EW;F;;31.08.2020;Profi;A;A;N;Pripravok;TEBUSHA 25% EW;01.03.2021;01.03.2022;spotreba;Nebezpeãenstvo;GHS05,GHS07,GHS08,GHS09;EUH401;H317,H318,H361d,H411;P261,P280,P305+P351+P338,P308+P313,P310,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;TILMUR;Prothioconazole (80.000 g/l),Tebuconazole (160.000 g/l);19-00485-PO;MJS;MJM AGRO SLOVAKIA s.r.o.;EC;F;;31.07.2020;Profi;A;A;N;Pripravok;TILMOR;31.01.2021;31.01.2022;spotreba;Pozor;GHS07,GHS08,GHS09;EUH401;H315,H317,H319,H332,H361d,H410;P101,P280,P302+P352,P305+P351+P338,P308+P311,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;TILMUR;Prothioconazole (80.000 g/l),Tebuconazole (160.000 g/l);17-00022-PO;MJS;MJM AGRO SLOVAKIA s.r.o.;EC;F;;12.05.2018;Profi;A;A;N;Pripravok;TILMOR;13.10.2018;13.10.2019;neautorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H315,H317,H319,H332,H361d,H410;P101,P280,P302+P352,P305+P351+P338,P308+P311,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;CORINTH;Prothioconazole (80.000 g/l),Tebuconazole (160.000 g/l);16-02-1800;BAY;Bayer, spol. s r.o;EC;F;;31.07.2021;Profi;N;N;N;Pripravok;TILMOR;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H315,H317,H319,H332,H361d,H410;P101,P280,P302+P352,P305+P351+P338,P308+P311,P501;;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;NIC-IT;Nicosulfuron (240.000 g/l);16-11-1866;CHE;CHEMINOVA A/S;SC;H;;31.12.2021;Profi;N;N;A;Pripravok;NICO SUPER 240 SC;30.06.2022;30.06.2023;autorizovany;Nebezpeãenstvo;GHS07,GHS09;EUH401;H315,H317,H410;P273,P280,P302+P352,P333+P313,P362,P501;PHO3;SP 1;V3;Vã3;Vo1;Vt5;Z4
;GREEN NIKO;Nicosulfuron (240.000 g/l);16-PD-0689;GRE;Green Point, spol. s.r.o.,;SC;H;;31.12.2018;Profi;A;A;N;Pripravok;NICO SUPER 240 SC;30.06.2019;30.06.2020;neautorizovany;Nebezpeãenstvo;GHS07,GHS09;EUH401;H315,H317,H410;P273,P280,P302+P352,P333+P313,P362,P501;PHO3;SP 1;V3;Vã3;Vo1;Vt5;Z4
;ALCEDO;Tetraconazole (100.000 g/l);18-00251-AU;ISA;ISAGRO, S.p.A.;EC;F;;31.12.2022;Profi;N;N;A;Pripravok;DOMARK 10 EC;30.06.2023;30.06.2024;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH401;H302,H304,H315,H319,H336,H411;P273,P280,P301+P310,P331,P337+P313,P391,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;LINNEA;Florasulam (50.000 g/l);21-01043-PO;LTT;LTT CROPS LTD;SC;H;;31.12.2021;Profi;A;A;N;Pripravok;SARACEN;30.06.2022;30.06.2023;autorizovany;Pozor;GHS09;EUH208,EUH401;H410;P273,P391;-;SP 1;V3;;Vo1;Vt5;Z4
;NYMEO;Metamitron (700.000 g/l);21-01057-AU;BAY;Bayer, spol. s r.o;SC;H;;31.08.2023;Profi;N;N;A;Pripravok;METAFOL 700 SC;29.02.2024;28.02.2025;autorizovany;Pozor;GHS09;EUH401;H411;P102,P270,P273,P280,P391,P501;;SP 1,SPe 3;V3;;Vo2;Vt5;Z4
;GREEN NIFEN;Aclonifen (600.000 g/l);17-PD-0722;GRE;Green Point, spol. s.r.o.,;SC;H;;31.07.2020;Profi;A;A;N;Pripravok;BANDUR;31.01.2021;31.01.2022;spotreba;Nebezpeãenstvo;GHS08,GHS09;EUH208,EUH401;H351,H410;P273,P280,P308+P313,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;ROUNDUP BIAKTIV PLUS;Glyphosate (incl trimesium aka sulfosate) (360.000 g/l);17-00156-MB;MON;Monsanto Slovakia, s.r.o.;SL;H;;31.12.2023;Neprofi;N;N;A;Pripravok;ROUNDUP MAX;30.06.2024;30.06.2025;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;;P102,P234,P280,P391,P501;;SP 1;V3;Vã3;Vo4;Vt5;Z4
;COLTRANE SC;Dicamba (120.000 g/l),Mesotrione (50.000 g/l);19-00619-PO;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2023;Profi;A;A;N;Pripravok;CALLISTO PLUS;31.01.2024;31.01.2025;autorizovany;Nebezpeãenstvo;GHS09;EUH401;H410;P273,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo3;Vt5;Z4
;GALICLOM;Clomazone (360.000 g/l);18-00402-AU;ALB;ALBAUGH TKI d.o.o.;CS;H;;31.10.2021;Profi;N;N;A;Pripravok;CLOMATE;30.04.2022;30.04.2023;autorizovany;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P102,P270,P280,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;KLOMAZON CS;Clomazone (360.000 g/l);17-PD-0726;AST;AgriStar - agrochemicals s.r.o.;CS;H;;31.10.2018;Profi;A;A;N;Pripravok;CLOMATE;30.04.2019;30.04.2020;neautorizovany;Pozor;Bez GHS;EUH401;H - bez oznaãenia;P102,P270,P280,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;KLOMAZON CS;Clomazone (360.000 g/l);19-00521-PO;AST;AgriStar - agrochemicals s.r.o.;CS;H;;31.10.2020;Profi;A;A;N;Pripravok;CLOMATE;30.04.2021;30.04.2022;dopredaj;NepoÏaduje sa;Bez GHS;EUH401;H - bez oznaãenia;P102,P270,P280,P501;;SP 1;V3;Vã3;Vo2;Vt5;Z4
;PROPEL;Bixafen (50.000 g/l),Tebuconazole (166.000 g/l);17-00133-AU;BAY;Bayer, spol. s r.o;EC;F;;31.08.2021;Profi;N;N;A;Pripravok;ZANTARA;28.02.2022;28.02.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H315,H317,H319,H335,H361fd,H411;P261,P273,P280,P302+P352,P305+P351+P338,P308+P313,P333+P313,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;MANDARIN;Bixafen (50.000 g/l),Tebuconazole (166.000 g/l);17-00132-AU;BAY;Bayer, spol. s r.o;EC;F;;31.08.2021;Profi;N;N;A;Pripravok;ZANTARA;28.02.2022;28.02.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H315,H317,H319,H335,H361fd,H411;P261,P273,P280,P302+P352,P305+P351+P338,P308+P313,P333+P313,P391,P501;PHO1;SP 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;CCC 745 SL;Chlormequat (582.000 g/l) CIPAC: Cl- (750.000 g/l);19-00629-PO;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;SL;MO;;30.11.2022;Profi;A;A;N;Pripravok;RETACEL EXTRA;30.05.2023;30.05.2024;autorizovany;Pozor;GHS07;EUH401;H290,H302,H312,H412;P280,P301+P312,P302+P352,P391,P501;-;SP 1;V3;Vã3;Vo3;Vt5;Z4
;CCC 745 SL;Chlormequat (720.000 g/l);14-PD-0545;AGF;AGROFERT, a.s., organizaãná zloÏka Agrochémia;SL;MO;;30.11.2019;Profi;A;A;N;Pripravok;RETACEL EXTRA;31.05.2020;31.05.2021;spotreba;Pozor;GHS07;EUH401;H290,H302,H312,H412;P280,P301+P312,P302+P352,P391,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;Agri CCC - 750 SL;Chlormequat (582.000 g/l);20-00699-PO;AST;AgriStar - agrochemicals s.r.o.;SL;MO;;30.11.2022;Profi;A;A;N;Pripravok;RETACEL EXTRA;30.05.2023;30.05.2024;autorizovany;Pozor;GHS07;EUH401;H290,H302,H312,H412;P280,P301+P312,P302+P352,P391,P501;-;SP 1;V3;Vã3;Vo3;Vt5;Z4
;AGRI CCC - 750 SL;Chlormequat (750.000 g/l);17-00040-PO;AST;AgriStar - agrochemicals s.r.o.;SL;MO;;30.11.2019;Profi;A;A;N;Pripravok;RETACEL EXTRA;31.05.2020;31.05.2021;spotreba;Pozor;GHS07;EUH401;H290,H302,H312,H412;P280,P301+P312,P302+P352,P391,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
;MV-CEL 750;Chlormequat (582.000 g/l);20-00657-PO;MVS;MV-Servis s. r. o., ;SL;MO;;30.11.2022;Profi;A;A;N;Pripravok;RETACEL EXTRA;30.05.2023;30.05.2024;autorizovany;Pozor;GHS07;EUH401;H290,H302,H312,H412;P280,P301+P312,P302+P352,P391,P501;-;SP 1;V3;Vã3;Vo3;Vt5;Z4
;AMCEL;Chlormequat (582.000 g/l) CIPAC: Cl- (750.000 g/l);17-00139-PO;AMA;AM-AGRO s. r. o.;SL;MO;;30.11.2019;Profi;A;A;N;Pripravok;RETACEL EXTRA;30.05.2020;30.05.2021;spotreba;Nebezpeãenstvo;GHS07;EUH401;H290,H302,H312,H412;P280,P301+P312,P302+P352,P391,P501;;SP 1;V3;Vã3;Vo3;Vt5;Z4
