;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z7 - Zoznam prípravkov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 Názov prípravku;2 Chemická látka;3 âíslo autorizácie;4 DrÏiteº;4b DrÏiteº názov;5 Formulácia;6 Funkcia prípravku;;7 Dátum ukonãenia platnosti autorizácie;8 Typ pouÏívateºa;9a Paraleln˘ obchod;9b Paraleln˘ obchod;10 Identická autorizácia;11 Typ prípravku;12 Referenãn˘ prípravok;13 Dátum ukonãenia predaja;14 Dátum ukonãenia spotreby;15 Stav rozhodnutia;16 SIGNAL;17 GHS;18 EUH;19 H;20 P;21 PHO;22 SP;23 V;24 Vc;25 Vo;26 Vt;27 Z
;TRINITY;Diflufenican (40.000 g/l),Chlorotoluron (250.000 g/l),Pendimethalin (300.000 g/l);16-11-1807;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2024;Profi;N;N;N;Pripravok;;31.01.2025;31.01.2026;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H351,H361d,H410;P102,P201,P273,P280,P308+P313,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;FOLPAN 80 WDG;Folpet (800.000 g/kg);15-02-1636;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H319,H351,H400,H411;P201,P280,P302+P352,P305+P351+P338,P501;-;-;V3;Vã3;Vo1;Vt5;Z4
;TWISTER;Ethofumesate (150.000 g/l),Metamitron (350.000 g/l);15-11-1643;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.08.2023;Profi;N;N;N;Pripravok;;29.02.2024;28.02.2025;autorizovany;NepoÏaduje sa;-;EUH208,EUH401;;P101,P102,P270,P501;PHO1,PHO3;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;BANJO FORTE;Dimethomorph (200.000 g/l),Fluazinam (200.000 g/l);16-02-1714;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS08,GHS09;EUH208,EUH401;H361d,H410;P201,P273,P280,P391,P501;;SP 1,SPe 3;V3;Vã3;Vo1;Vt5;Z4
;MERPAN 80 WDG;Captan (800.000 g/kg);15-02-1656;ADA;Adama Agriculture Slovensko spol. s.r.o.;WG;F;;31.07.2021;Profi;N;N;N;Pripravok;;31.01.2022;31.01.2023;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H317,H319,H351,H400;P201,P280,P302+P352,P305+P351+P338,P501;;SP 1;V3;Vã3;Vo1;Vt5;Z4
;QUIZ;Metazachlor (500.000 g/l);15-11-1602;ADA;Adama Agriculture Slovensko spol. s.r.o.;SC;H;;31.07.2022;Profi;N;N;N;Pripravok;;31.01.2023;31.01.2024;autorizovany;Pozor;GHS07,GHS08,GHS09;EUH401;H302,H317,H351,H410;P201,P270,P280,P302+P352,P501;PHO1;SP 1,SPe 1,SPe 3;V3;Vã3;Vo2;Vt5;Z4
;NICOGAN 40 OD;Nicosulfuron (40.000 g/l);17-00052-AU;ADA;Adama Agriculture Slovensko spol. s.r.o.;OD;H;;31.12.2021;Profi;N;N;N;Pripravok;;30.06.2022;30.06.2023;autorizovany;Pozor;GHS07,GHS09;EUH401;H317,H410;P261,P273,P280,P302+P352,P333+P313,P391,P501;PHO1;SP 1,SPe 4;V3;Vã3;Vo3;Vt5;Z4
;AGIL 100 EC;Propaquizafop (100.000 g/l);15-11-1610;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;H;;30.11.2022;Profi;N;N;N;Pripravok;;31.05.2023;31.05.2024;autorizovany;Nebezpeãenstvo;GHS07,GHS08,GHS09;EUH066,EUH208,EUH401;H304,H319,H411;P273,P280,P305+P351+P338,P331,P391,P501;;SP 1,SPe 3,SPe 4;V3;Vã3;Vo1;Vt5;Z4
;BUMPER 25 EC;Propiconazole (250.000 g/l);15-02-1617;ADA;Adama Agriculture Slovensko spol. s.r.o.;EC;F;;19.06.2019;Profi;N;N;N;Pripravok;;19.12.2019;19.03.2020;neautorizovany;Pozor;GHS09;EUH208,EUH401;H410;P102,P501;N/A;;V3;Vã3;Vo2;Vt5;Z4
;SHAVIT F 71,5 WP;Folpet (700.000 g/kg),Triadimenol (15.000 g/kg);15-02-1618;ADA;Adama Agriculture Slovensko spol. s.r.o.;WP;F;;12.04.2017;Profi;N;N;N;Pripravok;;12.10.2017;12.10.2018;neautorizovany;;;;;;N/A;;V3;Vã3;Vo1;Vt5;Z4
